appid,name,release_date__date,genre_description,categories_description,short_description,about_the_game
329920,Life Is Strange - Episode 4,"Jul 27, 2015","Action,Adventure","Downloadable Content,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards",Max realises that changing the past can lead to painful consequences and that time is not a great healer. Her investigation into the disappearance of Rachel Amber begins to reach a thrilling conclusion as she finds the Dark Room. Will the answers lie within? Or will there just be trouble?,"Max realises that changing the past can lead to painful consequences and that time is not a great healer. Her investigation into the disappearance of Rachel Amber begins to reach a thrilling conclusion as she finds the Dark Room. Will the answers lie within? Or will there just be trouble? <br><br>Life Is Strange: Dark Room is part Four of a five part series that sets out to revolutionise story based choice and consequence games. <br><br><strong>Features</strong><br><ul class=""bb_ul""><li>A beautifully written modern adventure game<br></li><li>Rewind time to change the course of events<br></li><li>Multiple endings depending on the choices you make <br></li><li>Striking, hand-painted visuals<br></li><li>Distinct, licensed indie soundtrack</li></ul>"
289690,Lara Croft and the Temple of Osiris,"Dec 8, 2014","Action,Adventure","Co-op,Full controller support,Multi-player,Shared/Split Screen,Single-player,Steam Achievements,Steam Leaderboards","Lara Croft and the Temple of Osiris is the sequel to the critically-acclaimed Lara Croft and the Guardian of Light, and the first-ever four-player co-op experience with Lara Croft.","Lara Croft and the Temple of Osiris is the sequel to the critically-acclaimed Lara Croft and the Guardian of Light, and the first-ever four-player co-op experience with Lara Croft. Featuring stunning visuals and a brand-new story, players must work together to explore the temple, defeat hordes of enemies from the Egyptian underworld, solve devious puzzles, and avoid deadly traps. All the while, players will compete for treasure, powerful artifacts, and ultimate bragging rights.<br><br>Lara Croft and the Temple of Osiris takes place deep in the deserts of Egypt. In her new adventure, Lara must join forces with rival treasure hunter Carter Bell and imprisoned gods Horus and Isis, to defeat the evil god Set. As Lara and her companions fight the elements of nature across the sands and through ancient tombs, they will battle legendary deities and creatures of myth. With the fate of the world at stake, Lara must recover the fragments of Osiris to stop Set from enslaving all mankind.<h2 class=""bb_tag"">Key Features:</h2><br><ul class=""bb_ul""><li><strong>Critically Acclaimed Franchise</strong> – Sequel to the award winning Lara Croft and the Guardian of Light, one of the best-selling digital titles of all time.<br></li><li><strong>All-New Adventure</strong> – Lara must overcome deadly traps and forsaken gods to uncover the missing pieces of Osiris and change her fate. <br></li><li><strong>Classic Arcade Action</strong> - First ever 4 player co-op multiplayer experience featuring Lara Croft. Have your friends play as Carter, Isis, and Horus while you play as Lara in the fully cooperative story mode – both offline and online supported.<br></li><li><strong>Competitive Co-op</strong> – Compete against your friends with seamless drop-in/drop-out co-op to earn bigger rewards, treasures, and powerful artifacts to boost your character. Will you work together or will you sacrifice your friends for a higher score?<br></li><li><strong>Explore The Temple of Osiris</strong> – Lara’s return to a fan-favorite location featuring stunning visuals with dynamic weather and world state changes.</li></ul>"
39210,FINAL FANTASY XIV Online,"Feb 18, 2014","Massively Multiplayer,RPG","Co-op,Cross-Platform Multiplayer,MMO,Multi-player,Online Co-op,Online Multi-Player,Partial Controller Support,Single-player",Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,"<u><strong>Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.</strong></u><br><br>The starter edition is perfect for newcomers as it includes the award-winning FINAL FANTASY XIV: A Realm Reborn experience and lets you begin your adventure as the Warrior of Light all the way through level 50.<br><br>Join others from around the world and start your own FINAL FANTASY adventure today!<br><br><br><u><strong>Note:</strong></u><br>FINAL FANTASY XIV Online game packages available on Steam may only be registered and added on a Square Enix account that has the base game “FINAL FANTASY XIV Online Starter Edition&quot; (or formerly known as &quot;FINAL FANTASY XIV: A Realm Reborn”) purchased on Steam.<br><br>To view your 20 digit registration codes after purchase, simply right-click on “FINAL FANTASY XIV” in your Steam “Library” and select “View CD key” on the Steam client. The codes will always be accessible from this location should you ever need to reference them again.<br><br>The registration codes can be redeemed immediately on the Mog Station <a href=""https://steamcommunity.com/linkfilter/?url=http://sqex.to/Msp"" target=""_blank"" rel=""noopener""  >http://sqex.to/Msp</a>. If this is your first time installing and registering &quot;FINAL FANTASY XIV Online&quot;, you may redeem your registration codes during the initial installation process.<br><br><u>Please note that the Brazilian and Russian subscription and optional item prices were adjusted on November 15th, 2017. Please visit the following links for further details: <a href=""https://steamcommunity.com/linkfilter/?url=https://na.finalfantasyxiv.com/lodestone/news/detail/c166dbb941b3cdedc5dd0e007d6c31a26087c79f"" target=""_blank"" rel=""noopener""  >Brazilian</a> / <a href=""https://steamcommunity.com/linkfilter/?url=https://eu.finalfantasyxiv.com/lodestone/news/detail/052363809f0743a9dcda3d25d0c3e5907fc4a041"" target=""_blank"" rel=""noopener""  >Russian</a> prices.</u>"
382900,FINAL FANTASY VI,"Dec 16, 2015",RPG,"Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards",The highly rated and widely popular sixth instalment of the legendary FINAL FANTASY series comes to PC!,"FINAL FANTASY VI first debuted in 1994 as the sixth instalment in the iconic FINAL FANTASY series. Innovations included the ability to play all the main characters as the game's protagonist, and to this day, its epic story intertwining each of their fates is still highly rated and wildly popular.<br><br>With plenty of abilities available and the magicite system for controlling spells/summoning, players can develop their characters any way they want. This was also the first FINAL FANTASY game to include the Ultima Weapon, the most powerful sword of all and a recurring item in subsequent titles within the series.<br><br><strong><u>Story</u></strong><br>The War of Magi left little but ashes and misery in its wake. Even magic itself had vanished from the world. Now, a thousand years later, humankind has remade the world through the power of iron, gunpowder, steam engines, and other machines and technologies.<br><br>But there is one who possesses the lost power of magic--a young girl name Terra whom the evil Empire has kept enslaved in an effort to harness her power as weapon. This leads to a fateful meeting between Terra and a young man named Locke. Their harrowing escape from the Empire's clutches sets in motion a series of events that touches countless lives and leads to one inevitable conclusion.<br><br><u><strong>Key Features</strong></u><br><ul class=""bb_ul""><li>Veteran character designer Kazuko Shibuya has painstakingly recreated the graphics, bringing the world of FINAL FANTASY VI to your PC for the very first time! <br></li><li>Updated controls and active-time battle system are optimized for fluid combat for PC<br></li><li>Includes Steam achievements and Trading cards.</li></ul>"
239120,FINAL FANTASY III,"May 27, 2014",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","FINAL FANTASY® III, one of the best-loved games from the epic RPG series, is now available on Steam.","When darkness falls and the land is robbed of light, four youths are chosen by the crystals to set forth on a journey to save the world.                                                                                                                                                                                                                                                                      Now available on Steam, FINAL FANTASY III has been optimised for PC gaming with new and improved 3D visuals and story sequences, and will include Steam Trading Cards and Achievements and new visual designs for the Job Mastery Cards.<br><br><ul class=""bb_ul""><li>New and improved 3D visuals and story sequences<br></li><li>Quicker browsing through the monster bestiary and other game record<br></li><li>New visual designs for the Job Mastery Cards<br></li><li>Upgraded graphics for PC <br></li><li>Includes Steam Trading Cards &amp; Achievements</li></ul>"
292120,FINAL FANTASY XIII,"Oct 9, 2014",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards",Final Fantasy XIII is a fantasy RPG in which a band of brave humans struggle against fate in the utopian sky city of Cocoon and the primeval world of Pulse. Follow stylish heroine Lightning's fast paced battles and high adventure in a mysterious new world.,"DO YOU HAVE THE COURAGE TO FACE YOUR DESTINY?<br><br>As a deepening crisis threatens to plunge the floating world of Cocoon into chaos, a band of unsuspecting strangers find themselves branded enemies of the state. With the panicking population baying for their blood, and the military all too happy to oblige, they have no choice but to run for their lives. Join them on a desperate quest to challenge the forces controlling their fate, and prevent untold destruction.<br><br>Featuring an unforgettable storyline, a battle system blending action and strategy, cutting-edge visuals and awe-inspiring cinematic sequences, FINAL FANTASY® XIII delivers the next step in the evolution of gaming.<br><br><ul class=""bb_ul""><li>Final Fantasy XIII has been optimised for PC, featuring full screen support and running at 60FPS.<br></li><li>Both English and Japanese voice over will be available.</li></ul>"
312750,FINAL FANTASY IV,"Sep 17, 2014",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","FINAL FANTASY IV makes its debut on PC! Lose yourself in this timeless tale of heroes, betrayal, love and redemption.","FINAL FANTASY IV makes its debut on PC!<br><br>As the first game in the series to feature the innovative Active Time Battle system, FINAL FANTASY IV stands as an iconic milestone in FINAL FANTASY history. Lose yourself in this timeless tale of heroes, betrayal, love and redemption—now optimized for PC!<h2 class=""bb_tag"">Key Features:</h2><br><ul class=""bb_ul""><li>Fully voiced, dramatic cut-scenes<br></li><li>Deep, emotionally charged character development<br></li><li>All-new system for charting dungeons and uncovering the secrets within<br></li><li>Inspiring score accessible at anytime from the built-in Jukebox</li></ul><br>*Please select the language you wish to play in via the game launcher."
382890,FINAL FANTASY V,"Sep 24, 2015",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","Return to the classic medieval tale of magic, monsters and friendship as FINAL FANTASY V comes to PC!","Twenty years after the original FINAL FANTASY V released in Japan, the classic RPG has found its way to PC!<br><br>Embark on an epic adventure as four heroes are driven together by fate: Bartz and his chocobo companion, Princess Lenna of Castle Tycoon, the mysterious Galuf, and the pirate captain Faris.<br><br>The crystals that bring peace and prosperity to the world – earth, water, fire, and wind – have lost their power and are on the verge of destruction.<h2 class=""bb_tag""><strong>Key Features:</strong></h2><ul class=""bb_ul""><li>Customize characters with an unprecedented degree of freedom with the job and ability system – 26 unique job classes!<br></li><li>Veteran character designer Kazuko Shibuya has returned to recreate the characters and graphics for an enhanced experience!<br></li><li>Updated controls and active-time battle system are optimized for fluid combat for PC.<br></li><li>This new version also includes “The Sealed Temple” from the 2006 release, as well as the Tetsuya Nomura-designed optional boss Enuo, and an extraordinary soundtrack<br></li><li>Includes STEAM trading cards and achievements.</li></ul>"
346830,FINAL FANTASY IV: THE AFTER YEARS,"May 11, 2015",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards",Take part in the epic sequel that unfolds nearly two decades after the events of FINAL FANTASY IV. Now enhanced for Windows PC.,"Now with a full 3-D remake, FINAL FANTASY IV: THE AFTER YEARS can now be played as never before on PC. Take part in the epic sequel that unfolds nearly two decades after the events of FINAL FANTASY IV. Classic characters make their return alongside several new heroes, such as Ceodore, son of Cecil and Rosa.<br><br>Story : Seventeen years have passed since the war's end, and the son born to King Cecil and Queen Rosa of Baron has grown into a young man. Prince Ceodore has enlisted in the airship fleet known as the Red Wings, eager to meet the expectations demanded of his blood and station. Yet once more another moon has appeared in the sky, and with it vast hordes of monsters intent on destruction. The brief peace enjoyed by the Blue Planet now stands threatened under the shadow of impending catastrophe.<h2 class=""bb_tag""><strong><u>Ten Playable Tales</u></strong></h2>Begin your journey with &quot;Ceodore's Tale.&quot; Complete it to unlock the tales of six additional characters, which can be played in any order, and then return to the core story with &quot;Kain's Tale,&quot; &quot;The Lunarian's Tale,&quot; and &quot;The Crystals.&quot; A total of ten tales in all, and all contained in FINAL FANTASY IV: THE AFTER YEARS.<br><br><br><strong>Active Time Battle</strong><br>Take control of exhilarating combat made possible by the non-stop action in Square Enix's iconic battle system.<br><br><strong>Lunar Phases</strong><br>Feel the moon's presence in combat, as its waxing and waning influences the potency of attacks and abilities of all combatants. Lunar phases cycle naturally with the passage of in-game time, or when resting at an inn, tent, or cottage.<br><br><strong>Band Abilities</strong><br>Combine the strength of your party members to awesome effect with Band abilities that can be unlocked through in-game events or by levelling your characters' Affinity.<br><br><strong>Minimap</strong><br>Keep an eye on your current location and nearby surroundings, or click for quick access to the world map.<br>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Includes STEAM Trading cards!"
39160,Dungeon Siege III,"Jun 20, 2011","Action,RPG","Co-op,Multi-player,Single-player,Steam Achievements,Steam Cloud",Fight hordes of dangerous creatures in a mystical fantasy world.,"For centuries legionnaires have protected the nation of Ehb until they were betrayed and all but driven to the brink of extinction. Now that evil has returned to Ehb the people turn to the few remaining Legionnaires for the protection of the past. As an heir to the legion will you accept this plea for help? How it will all be resolved is up to you!<br />
					  Dungeon Siege III is an Action RPG that seamlessly blends intuitive fast-paced gameplay, a robust RPG system featuring a large selection of abilities, loot galore and the depth of story Square-Enix and Obsidian Entertainment are known for creating. Players will be able to adventure by themselves, on the couch with friends, or online in a fully multiplayer experience."
470070,Deus Ex: Mankind Divided™ DLC - Season Pass,"Aug 23, 2016","Action,RPG","Downloadable Content,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","The Deus Ex: Mankind Divided - Season Pass, which is composed of Narrative DLCs and in-game items, is loaded with content that will help to further flesh out the lore of the Deus Ex Universe.","The Deus Ex: Mankind Divided - Season Pass, which is composed of Narrative DLCs and in-game items, is loaded with content that will help to further flesh out the lore of the Deus Ex Universe. Here is what it contains:<br><br><ul class=""bb_ul""><li>Two new story DLC’s - “System Rift” and “A Criminal Past”.<br></li><li>The “Assault” and “Tactical” packs, which include various weapons and items.<br></li><li>4 Praxis Kits.<br></li><li>5000 Credits.<br></li><li>1000 Weapon Parts.<br></li><li>5 Booster Packs and 20 Chipsets for Deus Ex: Mankind Divided – Breach.</li></ul><br><strong>Note: this DLC includes some consumable items which will permanently disappear from your inventory once used (including ammo, darts, grenades, weapon parts, Praxis kits and credits) and will not be available in subsequent play-throughs or other saved games.</strong>"
421740,Goetia,"Apr 14, 2016","Adventure,Indie","Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards",Goetia is a point &amp; click adventure where you play the ghost of a young lady. You are Abigail. Abigail Blackwood.,"The ruins of any village are the silent testament to its final moments. The ruins of Oakmarsh are no different. Their telling silence, the dust blanketing what was once a quiet village near Coventry.<br><br>The name of a manor and the family that lived within. A perverted and mad lineage, a clan whose final members devoted their life to mysticism and fanatical experiments. I am Abigail. Abigail Blackwood. Recently risen from the grave, I know nothing about the last 40 years of my family’s history... But obviously somebody is keen on seeing me lift the veil on what happened in Oakmarsh - to what led to the downfall of Blackwood Manor. And it seems like I have no choice in the matter…<br><br><strong>Key Features</strong><br><ul class=""bb_ul""><li>A 2D world of Victorian mystery.<br></li><li>Over 90 rooms to explore.<br></li><li>Five vast and diverse areas to discover - Blackwood Manor is surrounded by ruins, woods, caves and an abandoned village.<br></li><li>A progressive-rock and ambient-inspired soundtrack.<br></li><li>Use your ability to walk through walls in order to reach secret rooms and areas.<br></li><li>Possess objects like a poltergeist to lift them, use them, combine them, make them float in the air, pile them up… well, you’re a ghost after all, behave like one!<br></li><li>Solve puzzles in more than one way by discovering hidden rooms and special features, such as new ghostly powers.<br></li><li>Delve into Blackwood’s story: 40 years have passed, and many things have changed since Abigail’s death.<br></li><li>Feel free to explore! You can travel through the world of Goetia however you like - and if you get stuck, simply backtrack and explore another area.</li></ul>"
8190,Just Cause 2,"Mar 23, 2010","Action,Adventure","Full controller support,Single-player,Steam Achievements,Steam Cloud",Dive into an adrenaline-fuelled free-roaming adventure with 400 square miles of rugged terrain and hundreds of weapons and vehicles.,"Dive into an adrenaline-fuelled free-roaming adventure. As agent Rico Rodriguez, your orders are to find and kill your friend and mentor who has disappeared on the island paradise of Panau. There, you must cause maximum chaos by land, sea and air to shift the balance of power. With the unique grapple and parachute combo, BASE jump, hijack and create your own high-speed stunts. With 400 square miles of rugged terrain and hundreds of weapons and vehicles, Just Cause 2 defies gravity and belief.<br>					<ul class=""bb_ul""><li><strong>UNIQUE VERTICAL GAMEPLAY</strong> - Take to the air like no other game. Experience total aerial freedom with the unique parachute and dual grapple<br>					</li><li><strong>UNBELIEVABLE ADRENALINE-FUELLED STUNTS</strong> - Free fall, base jump, vehicle surf, para sail, skydive, grapple, slingshot, leap between vehicles, hang from helicopters, scale buildings. The impossible is within your grasp.<br>					</li><li><strong>UPGRADED DUAL GRAPPLE</strong> - Your best tool is now a weapon. Fire two shots with the grapple hook and attach unwilling enemies to high-speed vehicles, hang them upside down from buildings, tether objects in mid air. The possibilities are as vast as your imagination. <br>					</li><li><strong>DISCOVER THE SECRETS OF PANAU</strong> - Explore the island paradise; from sprawling cities, secluded beaches and towering mountain peaks – more than 400 square miles of your own personal playground.<br>					</li><li><strong>EXPERIENCE TRUE FREEDOM</strong> - Hundreds of objectives can be completed in any way or order that you choose. When it’s time for a break from Agency business, kick back and enjoy all the attractions that Panau has to offer.<br>					</li><li><strong>MASSIVE SELECTION OF VEHICLES</strong> - Catch air on a high-speed dirt bike, race across the sea in a power boat, or fire a spread of rockets from an attack chopper – more than 100 land, sea and air vehicles are yours for the taking.<br>					</li></ul>"
308060,Black The Fall,"Jul 11, 2017","Action,Adventure,Indie","Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","After decades of toil, an old machinist plots his escape from Communism, through manipulation and scheming. Along the road, he befriends the most unlikely creature, an abandoned robot. Could they solve the puzzles and flee this bleak world together?","<img src=""https://steamcdn-a.akamaihd.net/steam/apps/308060/extras/trailer_gif_big.png?t=1515058889"" ><br><br>After decades of toil, an old machinist plots his escape from the oppressive grasp of the Communist regime. Through hidden passages, shadow and grief, he struggles. Ingenuity, reflexes and deception are his tools. Along the road, he befriends the most unlikely creature, an abandoned little robot. Could they escape this bleak and deadly world, together? <br><br>Features<br>•  Unravel the puzzles buried within the oppressive atmosphere of a dystopian dictatorship<br>•  Harness the power of a stolen designator tool to manipulate both man and machine<br>•  Befriend a lonely lost robot and earn its loyal companionship<br>•  Take your shot at overthrowing a Communist State inspired by real world events<br><br><img src=""https://steamcdn-a.akamaihd.net/steam/apps/308060/extras/all-awards-sep2016-small.png?t=1515058889"" >"
9420,Supreme Commander: Forged Alliance,"Sep 28, 2011",Strategy,"Multi-player,Single-player",,"The last days of man are at hand.. Two years after the Infinite War the once great warring nations now lie in ruins, and humanity’s hope for a brighter future is nothing but a bitter memory. A new, seemingly unstoppable enemy, supported by the zealots of The Order, now seeks to eradicate mankind: UEF, Aeon Loyalist, and Cybran alike. With their backs against the wall and staring into the abyss, the tattered remnants of Humanity’s forces must put aside old hatreds and band together as they prepare to make one last desperate stand. One last chance. An alliance forged in blood, steel and hope, they turn to face the dark.<br>					<h2 class=""bb_tag"">Key Features:</h2>					<ul class=""bb_ul""><li>New Playable Faction: A completely new playable faction will be available in multiplayer games and serve as the main threat during the new single-player campaign. This new threat is a cunning and devious race with advanced technology and are true masters of quantum technology. New weapons, new strategies, new conquests! <br>					</li><li>New Units: 110 new land, sea, air, base and experimental units evolve armies to address strategic weakness or become the ultimate expressions of factional military doctrine. <br>					</li><li>Warfare on an Epic Scale: Fully realized navies, orbital weaponry and advanced counter intelligence technologies give commanders unprecedented, deadly new capabilities in what is already the most strategic RTS on the market today. <br>					</li><li>New Multiplayer Maps: New multiplayer battlefields provide new grounds for players to prove their supremacy. <br>					</li><li>New Single Player Campaign: Play through a brand new single player campaign as you gather your forces to save mankind from extinction. <br>					</li></ul>"
9350,Supreme Commander,"Sep 28, 2011",Strategy,"Multi-player,Single-player",,"For a thousand years, three opposing forces have waged war for what they believe is true. There can be no room for compromise: their way is the only way. Dubbed The Infinite War, this devastating conflict has taken its toll on a once-peaceful galaxy and has only served to deepen the hatred between the factions. After centuries of struggle, the battle for supremacy has at last reached a turning point. Under your strategic command and leadership, will your faction reign supreme? Will you be victorious and elevate your race to domination? Or will you lead them into the hell of defeat and ultimate extinction?"
40100,Supreme Commander 2,"Mar 1, 2010",Strategy,"Multi-player,Single-player,Stats,Steam Achievements,Steam Leaderboards","Includes 47 Steam achievements, leaderboards, and stats!","In Supreme Commander 2, players will experience brutal battles on a massive scale! Players will wage war by creating enormous customizable armies and experimental war machines that can change the balance of power at any given moment.  Take the role of one of the three enigmatic commanders, each representing a unique faction with a rich story that brings a new level of emotional connection to the RTS genre, or fight the battle online. Where do your loyalties lie?<br>						<ul class=""bb_ul""><li><strong>A deep and powerful story</strong> -  element adds a personal, human aspect to a storyline previously focused on warring factions and the politics that fuel them. The single player campaign features three character-driven storylines set 25 years after the events of Supreme Commander: Forged Alliance <br>						</li><li><strong>Command</strong> enormous armies made up of customizable land, air and naval units. Each of the three diverse factions – The United Earth Federation (UEF), the Cybran Nation and the Illuminate – have been completely redesigned from the original game, with many units.<br>						</li><li><strong>Experimental units</strong> - returning with new designs and greatly enhanced looks….and some new tricks that can be unlocked through research <br>						</li><li><strong>New Supreme Commander Gameplay Experience</strong> - players now have the ability to research new technologies and units and deploy them instantly on the battlefield, allowing them to upgrade a base-level tank to a high-powered, multi-barreled, AA-sporting monster by the end of a given game. <br>						</li><li><strong>Strategic Mode UI</strong> - the redesigned UI that is faster, takes up less screen real-estate and gives better player feedback<br>						</li><li><strong>New</strong> rendering technology that allows us to create visually spectacular environments <br>						</li></ul>"
39140,FINAL FANTASY VII,"Jul 4, 2013",RPG,"Partial Controller Support,Single-player,Steam Achievements",,"In Midgar, a city controlled by the mega-conglomerate Shinra Inc., the No. 1 Mako Reactor has been blown up by a rebel group, AVALANCHE.<br><br>AVALANCHE was secretly formed to wage a rebellion against Shinra Inc., an organisation which is absorbing Mako energy, destroying the natural resources of the planet. Cloud, a former member of Shinra's elite combat force, SOLDIER, was involved with the bombing of the Mako Reactor.<br><br>Can Cloud and AVALANCHE protect the planet from the huge, formidable enemy, Shinra Inc.?<br><br>The RPG classic FINAL FANTASY VII returns to PC, now with brand new online features! <br><br><ul class=""bb_ul""><li> Achievements – Whether you’re a seasoned FINAL FANTASY VII veteran or exploring this RPG classic for the very first time, show off your in-game accomplishments and put your gaming skills to the test with 36 brand new achievements to unlock. Share your profile with friends online to find out who is the ultimate FINAL FANTASY fan.'<br></li><li> Cloud Saves – If you’re away from home or simply using a different computer to play, enjoy FINAL FANTASY VII wherever you are. With cloud save support in FINAL FANTASY VII you can continue your game progress right where you left off (Requires Internet Connection. Saves can only be transferred between a maximum of 3 computers at any one time).<br></li><li> Character Booster – Find yourself stuck on a difficult section or lacking the funds to buy that vital Phoenix Down? With the Character Booster you can increase your HP, MP and Gil levels to their maximum, all with the simple click of a button, leaving you to enjoy your adventure.<br></li><li> Optimized for PC – FINAL FANTASY VII has been updated to support the latest hardware and Windows Operating Systems.</li></ul><br>To back up your save files, remember to turn on Cloud Saving in the Network Settings panel on the FINAL FANTASY VII launcher. Uninstalling the game will delete any save files stored locally on your PC."
39150,FINAL FANTASY VIII,"Dec 5, 2013",RPG,"Partial Controller Support,Single-player,Steam Achievements,Steam Cloud",,"<strong>It is a time of war.</strong> Galbadia, a Global Superpower, has declared war on Dollet, a country whose training academy is home to two personalities: the hot-headed Seifer and the 'lone wolf', Squall Leonhart. Both are equally at conflict with each other as their country is with Galbadia; to others, Squall appears lacking in team spirit, while Seifer lacks the discipline of his rival. However, a chance encounter with the free-spirited Rinoa Heartilly turns Squall's universe upside down; having thrived on discipline, Squall find the carefree Rinoa fascinating. He also begins to dream that he is Laguna Loire, a Galbadian army soldier…<br><br>Meanwhile, a sorceress manipulates the most powerful men in Galbadia.<br>Will Squall and his party succeed in defeating this maniacal sorceress and saving their world?<br>What part does the mysterious Laguna play? Only you can decide what happens next, as the greatest Role Playing Adventure of all time returns...<h2 class=""bb_tag"">Key Features:</h2><ul class=""bb_ul""><li><strong>Magic Booster</strong><br><br>When Magic Booster is used, the player’s inventory of the following spells is increased by 100:<br><br>Cure, Cura, Curaga, Fire, Fira, Blizzard, Blizzara, Thunder, Thundara, Sleep, Blind, Silence, Berserk, Bio, Esuna, Aero, Confuse, Break, Zombie<br><br>This feature can be used from the launcher.<br><br></li><li><strong>Chocobo World</strong><br><br>This version of FFVIII includes the full game “Chocobo World” that was released as a separate application for previous versions. It is possible to play “Chocobo World” directly from the launcher after booting up FFVIII and by fulfilling certain specific conditions in the main game you will also be able to synchronise data between the two games.</li></ul><br><strong><h2 class=""bb_tag"">New Game Boosters:</h2></strong><br><ul class=""bb_ul""><li><strong>High Speed Mode</strong><br>All scenes (including cutscenes, movies and battles, etc.) can be fast-forwarded. (Fast-forward speeds vary by cutscene, but average about five times normal speed.)<br>* CAUTION, certain computers may not be able to process the game with High Speed Mode. If the game crashes while in High Speed Mode, please restart the game and refrain from using High Speed Mode.<br><br></li><li><strong>Battle Assistance</strong><br>Grants the following advantages in battle:<br>-ATB gauge always full<br>-HP always full<br>-Limit Break always available<br>*Characters die instantly when suffering damage that exceeds their HP. <br><br></li><li><strong>9999</strong><br>Normal attacks, certain Limit Breaks, and certain G.F. attacks deal 9,999 damage.<br><br></li><li><strong>AP MAX</strong><br>Sets level and AP of all acquired G.F. to max when used on the world map. <br>*May not function properly when used during event cutscenes.<br>*These commands can only be executed via keyboard. <br><br></li><li><strong>Magic and Gil MAX</strong><br>Sets inventory of each acquired magic spell to 100 and sets gil to maximum limit<br>*Cannot be used on menu screens, during cutscenes, in combat or at shop. Usable when moving between areas while playing Laguna's Dream.<br>*These commands can only be executed via keyboard.</li></ul>"
400551,Just Cause™ 3 DLC: Sky Fortress Pack,"Mar 8, 2016","Action,Adventure","Downloadable Content,Full controller support,Single-player,Steam Achievements","Become the master of the skies with Rico's all new and fully armed, Bavarium Wingsuit. Save Medici from the threat of the terrifying Sky Fortress and its army of deadly robotic drones.","Just Cause 3: Sky Fortress is available now!<br />
<br />
Just Cause 3: Sky Fortress is the first PDLC pack from the Air, Land &amp; Sea Expansion pass. Become the master of the skies with Rico's all new and fully armed, Bavarium Wingsuit. Save Medici from the threat of the terrifying Sky Fortress and its army of deadly robotic drones.<br />
<br />
This content pack includes new missions, challenges, the &quot;Bavarium Splitter&quot; assault rifle and the &quot;Eviction&quot; personal defence drone, all of which can be carried over into the main game."
400490,Just Cause™ 3 DLC: Mech Land Assault Pack,"Jun 10, 2016","Action,Adventure","Downloadable Content,Full controller support,Single-player,Steam Achievements,Steam Trading Cards",Infiltrate the mysterious secret island of Lacrima to liberate rebels held prisoner by the ruthless soldiers of the Black Hand. Hijack powerful Mechs and use their incredible Gravity Weapon to hurl and smash the enemy into pieces.,"Just Cause 3: Mech Land Assault is the second PDLC pack from the Air, Land &amp; Sea Expansion pass. Infiltrate the mysterious secret island of Lacrima to liberate rebels held prisoner by the ruthless soldiers of the Black Hand. Hijack powerful Mechs and use their incredible Gravity Weapon to hurl and smash the enemy into pieces.<br><br>This content pack includes a brand new island, missions, challenges, two heavily armed Mechs equipped with the GRIP Gravity Weapon, the Bavarium Power Core energy rifle and a Rebel Mech buddy, all of which can be carried over into the main game.<br><br><strong>Key Features:</strong><br><ul class=""bb_ul""><li>Liberate the brand new island province of Lacrima.<br></li><li>Rescue and arm the rebel prisoners to defeat the Black Hand in an all new storyline and missions.<br></li><li>Pilot two types of powerful Mech’s and drive them anywhere in Medici<br></li><li>Unleash the Mech’s Gravitational Remote Influence Projector or “GRIP” to attract and hurl objects at your enemies.<br></li><li>Jump and smash helicopters from the sky or ground pound tanks with the GRIPS’s Force Pulse attack.<br></li><li>Prove your skills and earn upgrades in Mech arena challenges.<br></li><li>Call in a Rebel Mech buddy for extra firepower when the going gets tough.<br></li><li>Includes a powerful new energy weapon, the Bavarium Power Core rifle.</li></ul>"
413370,Deus Ex: Mankind Divided - A Criminal Past,"Feb 23, 2017","Action,RPG,Violent","Downloadable Content,Full controller support,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards","Posing as a convicted criminal, Jensen is transferred deep into a hostile, high-security prison for augmented felons, with his mission being to track down a fellow undercover agent who has gone dark. To achieve his goal, Jensen will need to confront a darker side to his role before the day is done.","Experience Adam Jensen’s first mission for TF29, set before the events of Mankind Divided. Posing as a convicted criminal, Jensen is transferred deep into a hostile, high-security prison for augmented felons. His mission: Track down and retrieve sensitive information from a fellow undercover agent who has gone dark. Success will help the fight against terror around the world, but Jensen will need to confront a darker side to his role before the day is done."
